Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
04:30 am,13.9,13.2,95.0,SSW,9.0 5.0,15.0 8.0,1011.6,0.4,Mostly clear,1.0,2025-11-19
04:23 am,14.0,13.3,95.0,SSW,9.0 5.0,17.0 9.0,1011.5,0.4,Partly cloudy,3.0,2025-11-19
04:04 am,14.2,13.5,93.0,SW,9.0 5.0,20.0 11.0,1011.5,0.4,Partly cloudy,3.0,2025-11-19
04:00 am,14.4,14.7,93.0,SW,4.0 2.0,15.0 8.0,1011.5,0.2,Partly cloudy,5.0,2025-11-19
03:30 am,14.5,13.7,90.0,SW,9.0 5.0,17.0 9.0,1011.6,0.0,Partly cloudy,5.0,2025-11-19
03:23 am,14.8,14.4,89.0,SW,7.0 4.0,17.0 9.0,1011.6,0.0,Partly cloudy,5.0,2025-11-19
03:00 am,15.2,14.7,85.0,SSW,7.0 4.0,15.0 8.0,1011.5,0.0,Cloudy,8.0,2025-11-19
02:30 am,15.2,14.8,87.0,SSW,7.0 4.0,11.0 6.0,1011.5,0.0,Cloudy,8.0,2025-11-19
02:00 am,15.4,14.7,86.0,SSW,9.0 5.0,17.0 9.0,1011.8,0.0,Partly cloudy,5.0,2025-11-19
01:40 am,15.8,14.3,84.0,WSW,13.0 7.0,20.0 11.0,1011.7,0.0,Partly cloudy,5.0,2025-11-19
01:30 am,15.9,14.8,84.0,WSW,11.0 6.0,17.0 9.0,1011.9,0.0,Partly cloudy,5.0,2025-11-19
01:27 am,15.9,14.9,85.0,WSW,11.0 6.0,19.0 10.0,1011.9,0.0,Partly cloudy,5.0,2025-11-19
01:00 am,15.9,15.2,84.0,WSW,9.0 5.0,20.0 11.0,1012.1,0.0,Mostly clear,1.0,2025-11-19
12:30 am,15.9,15.1,83.0,WSW,9.0 5.0,17.0 9.0,1012.2,0.0,Partly cloudy,3.0,2025-11-19
12:00 am,15.4,15.3,88.0,WSW,6.0 3.0,9.0 5.0,1012.3,0.0,Cloudy,8.0,2025-11-19
11:43 pm,14.9,15.8,88.0,CALM,0.0 0.0,0.0 0.0,1012.2,0.0,Partly cloudy,5.0,2025-11-18
11:30 pm,15.1,14.9,87.0,WSW,6.0 3.0,9.0 5.0,1012.2,0.0,Partly cloudy,5.0,2025-11-18
