Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
12:30 pm,25.4,29.5,83.0,NNW,4.0 2.0,9.0 5.0,1008.5,0.6,-,-9999.0,2025-11-16
12:00 pm,25.4,29.2,80.0,NNW,4.0 2.0,9.0 5.0,1008.7,0.2,-,-9999.0,2025-11-16
11:30 am,25.3,28.8,81.0,NNW,6.0 3.0,9.0 5.0,1008.8,0.2,-,-9999.0,2025-11-16
11:00 am,25.7,29.6,79.0,NNW,4.0 2.0,11.0 6.0,1009.0,0.0,-,-9999.0,2025-11-16
10:30 am,26.3,29.8,77.0,N,6.0 3.0,11.0 6.0,1009.3,0.0,-,-9999.0,2025-11-16
10:00 am,26.1,29.1,75.0,NNW,7.0 4.0,15.0 8.0,1009.4,0.0,-,-9999.0,2025-11-16
09:30 am,26.1,29.7,78.0,N,6.0 3.0,15.0 8.0,1009.5,0.0,-,-9999.0,2025-11-16
09:00 am,25.4,28.6,78.0,N,6.0 3.0,11.0 6.0,1009.5,16.2,-,-9999.0,2025-11-16
08:30 am,25.4,29.1,79.0,N,4.0 2.0,9.0 5.0,1009.4,16.2,-,-9999.0,2025-11-16
08:00 am,24.8,28.4,81.0,N,4.0 2.0,13.0 7.0,1009.6,16.2,-,-9999.0,2025-11-16
07:30 am,23.7,27.0,84.0,NNE,4.0 2.0,7.0 4.0,1009.5,16.2,-,-9999.0,2025-11-16
07:00 am,23.3,26.5,84.0,N,4.0 2.0,9.0 5.0,1009.8,16.2,-,-9999.0,2025-11-16
06:30 am,22.6,26.2,88.0,N,2.0 1.0,7.0 4.0,1009.9,16.2,-,-9999.0,2025-11-16
06:00 am,22.0,25.6,91.0,N,2.0 1.0,4.0 2.0,1009.9,16.2,-,-9999.0,2025-11-16
05:30 am,21.6,25.4,92.0,CALM,0.0 0.0,2.0 1.0,1009.5,16.2,-,-9999.0,2025-11-16
05:00 am,21.4,24.4,92.0,NNW,4.0 2.0,9.0 5.0,1009.3,16.2,-,-9999.0,2025-11-16
04:30 am,21.5,24.5,92.0,N,4.0 2.0,7.0 4.0,1009.0,16.2,-,-9999.0,2025-11-16
04:00 am,21.6,24.6,91.0,NW,4.0 2.0,9.0 5.0,1009.2,16.2,-,-9999.0,2025-11-16
03:30 am,21.7,24.8,91.0,NNW,4.0 2.0,9.0 5.0,1009.3,16.2,-,-9999.0,2025-11-16
03:00 am,21.7,24.4,92.0,N,6.0 3.0,15.0 8.0,1009.2,16.2,-,-9999.0,2025-11-16
02:30 am,21.5,24.6,93.0,NNE,4.0 2.0,11.0 6.0,1009.4,16.2,-,-9999.0,2025-11-16
02:00 am,21.4,24.0,92.0,N,6.0 3.0,15.0 8.0,1009.9,16.2,-,-9999.0,2025-11-16
01:30 am,21.3,23.8,91.0,NNE,6.0 3.0,15.0 8.0,1010.3,16.2,-,-9999.0,2025-11-16
01:00 am,21.3,23.2,91.0,NNE,9.0 5.0,20.0 11.0,1011.1,16.2,-,-9999.0,2025-11-16
12:30 am,22.2,24.5,87.0,N,7.0 4.0,19.0 10.0,1011.7,14.6,-,-9999.0,2025-11-16
12:00 am,22.2,25.2,92.0,N,6.0 3.0,11.0 6.0,1012.2,14.6,-,-9999.0,2025-11-16
11:30 pm,21.9,25.5,92.0,N,2.0 1.0,9.0 5.0,1011.9,14.6,-,-9999.0,2025-11-15
11:00 pm,21.7,25.2,92.0,NNE,2.0 1.0,4.0 2.0,1012.6,14.6,-,-9999.0,2025-11-15
10:30 pm,21.7,25.5,91.0,CALM,0.0 0.0,4.0 2.0,1012.8,14.6,-,-9999.0,2025-11-15
10:00 pm,21.6,25.0,91.0,N,2.0 1.0,4.0 2.0,1013.5,14.6,-,-9999.0,2025-11-15
09:30 pm,21.6,24.5,90.0,NE,4.0 2.0,7.0 4.0,1013.2,14.6,-,-9999.0,2025-11-15
09:00 pm,21.7,24.4,91.0,N,6.0 3.0,13.0 7.0,1012.9,14.6,-,-9999.0,2025-11-15
08:30 pm,21.8,24.6,92.0,N,6.0 3.0,17.0 9.0,1012.7,14.6,-,-9999.0,2025-11-15
08:00 pm,22.1,25.0,91.0,NNW,6.0 3.0,11.0 6.0,1012.4,14.4,-,-9999.0,2025-11-15
07:30 pm,23.1,27.0,93.0,NNW,4.0 2.0,11.0 6.0,1011.3,11.0,-,-9999.0,2025-11-15
07:00 pm,23.2,26.6,91.0,NNW,6.0 3.0,13.0 7.0,1010.8,10.2,-,-9999.0,2025-11-15
06:30 pm,23.2,25.7,92.0,NNE,11.0 6.0,28.0 15.0,1009.6,10.0,-,-9999.0,2025-11-15
06:00 pm,23.4,26.9,93.0,N,7.0 4.0,24.0 13.0,1009.7,9.8,-,-9999.0,2025-11-15
05:30 pm,23.4,26.9,93.0,NNE,7.0 4.0,17.0 9.0,1008.7,8.4,-,-9999.0,2025-11-15
05:00 pm,23.9,27.6,91.0,N,6.0 3.0,13.0 7.0,1010.1,3.2,-,-9999.0,2025-11-15
04:30 pm,24.6,28.3,87.0,NW,6.0 3.0,13.0 7.0,1009.5,0.8,-,-9999.0,2025-11-15
04:00 pm,24.8,28.1,84.0,N,7.0 4.0,20.0 11.0,1007.9,0.0,-,-9999.0,2025-11-15
03:30 pm,26.1,28.5,76.0,NE,11.0 6.0,32.0 17.0,1007.6,0.0,-,-9999.0,2025-11-15
03:00 pm,27.1,29.3,70.0,NNE,11.0 6.0,22.0 12.0,1008.4,0.0,-,-9999.0,2025-11-15
02:30 pm,28.0,30.5,66.0,NNE,9.0 5.0,19.0 10.0,1008.7,0.0,-,-9999.0,2025-11-15
02:00 pm,30.0,33.2,63.0,NNE,9.0 5.0,20.0 11.0,1008.9,0.0,-,-9999.0,2025-11-15
01:30 pm,29.5,32.2,61.0,NE,9.0 5.0,15.0 8.0,1009.3,0.0,-,-9999.0,2025-11-15
01:00 pm,29.6,32.5,63.0,NNE,9.0 5.0,19.0 10.0,1010.0,0.0,-,-9999.0,2025-11-15
12:30 pm,29.4,32.4,64.0,ENE,9.0 5.0,17.0 9.0,1010.3,0.0,-,-9999.0,2025-11-15
12:00 pm,29.9,33.6,65.0,NE,7.0 4.0,15.0 8.0,1010.6,0.0,-,-9999.0,2025-11-15
11:30 am,29.6,32.9,61.0,NNE,6.0 3.0,11.0 6.0,1010.9,0.0,-,-9999.0,2025-11-15
11:00 am,29.2,32.7,66.0,ENE,7.0 4.0,17.0 9.0,1011.3,0.0,-,-9999.0,2025-11-15
10:30 am,29.4,33.4,62.0,W,2.0 1.0,6.0 3.0,1011.8,0.0,-,-9999.0,2025-11-15
10:00 am,27.6,30.3,64.0,ENE,6.0 3.0,11.0 6.0,1011.8,0.0,-,-9999.0,2025-11-15
09:30 am,27.4,30.5,65.0,NNW,4.0 2.0,9.0 5.0,1012.3,0.0,-,-9999.0,2025-11-15
09:00 am,25.9,29.3,71.0,SSE,2.0 1.0,6.0 3.0,1012.7,23.2,-,-9999.0,2025-11-15
08:30 am,24.7,27.6,74.0,WSW,4.0 2.0,7.0 4.0,1013.0,23.2,-,-9999.0,2025-11-15
08:00 am,23.9,27.0,80.0,SW,4.0 2.0,9.0 5.0,1013.1,23.0,-,-9999.0,2025-11-15
07:30 am,23.2,25.9,79.0,SW,4.0 2.0,7.0 4.0,1013.0,23.0,-,-9999.0,2025-11-15
07:00 am,22.2,25.1,87.0,SSW,4.0 2.0,7.0 4.0,1013.0,23.0,-,-9999.0,2025-11-15
