Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
05:30 am,26.6,32.7,95.0,SSE,4.0 2.0,4.0 2.0,1008.7,0.6,Partly cloudy,3.0,2025-11-13
05:00 am,26.6,32.7,94.0,SSE,4.0 2.0,6.0 3.0,1008.7,0.6,-,-9999.0,2025-11-13
04:30 am,26.6,33.5,95.0,CALM,0.0 0.0,0.0 0.0,1008.6,0.6,-,-9999.0,2025-11-13
04:00 am,26.6,32.9,93.0,SW,2.0 1.0,2.0 1.0,1008.3,0.6,-,-9999.0,2025-11-13
03:30 am,26.7,33.7,95.0,CALM,0.0 0.0,4.0 2.0,1008.4,0.6,-,-9999.0,2025-11-13
03:00 am,26.9,33.9,94.0,CALM,0.0 0.0,0.0 0.0,1008.5,0.6,Cloudy,8.0,2025-11-13
02:30 am,27.2,33.0,92.0,SW,6.0 3.0,7.0 4.0,1008.7,0.6,-,-9999.0,2025-11-13
02:00 am,27.4,33.5,90.0,SW,4.0 2.0,6.0 3.0,1008.9,0.6,-,-9999.0,2025-11-13
01:30 am,27.3,32.9,90.0,SSW,6.0 3.0,7.0 4.0,1009.1,0.6,Cloudy,8.0,2025-11-13
01:00 am,27.4,32.7,88.0,SW,7.0 4.0,9.0 5.0,1009.5,0.6,Cloudy,8.0,2025-11-13
12:30 am,27.4,32.7,88.0,SSW,7.0 4.0,11.0 6.0,1009.7,0.6,Cloudy,8.0,2025-11-13
12:00 am,27.9,33.0,84.0,W,7.0 4.0,9.0 5.0,1010.0,0.6,Cloudy,8.0,2025-11-13
11:30 pm,28.0,33.4,85.0,W,6.0 3.0,9.0 5.0,1009.9,0.6,-,-9999.0,2025-11-12
11:00 pm,28.0,33.0,83.0,WNW,7.0 4.0,7.0 4.0,1009.7,0.6,-,-9999.0,2025-11-12
10:30 pm,28.1,33.0,82.0,NNW,7.0 4.0,7.0 4.0,1009.5,0.6,Mostly clear,1.0,2025-11-12
10:00 pm,27.5,32.0,84.0,NW,9.0 5.0,11.0 6.0,1009.5,0.6,Cloudy,8.0,2025-11-12
09:30 pm,27.5,32.4,83.0,NW,6.0 3.0,7.0 4.0,1009.2,0.6,Partly cloudy,5.0,2025-11-12
09:00 pm,27.1,31.7,82.0,WSW,6.0 3.0,7.0 4.0,1009.3,0.6,Cloudy,8.0,2025-11-12
08:30 pm,26.7,31.2,83.0,W,6.0 3.0,6.0 3.0,1009.4,0.6,-,-9999.0,2025-11-12
08:00 pm,26.6,31.0,83.0,WSW,6.0 3.0,6.0 3.0,1009.3,0.6,-,-9999.0,2025-11-12
07:30 pm,26.3,30.8,85.0,SSW,6.0 3.0,9.0 5.0,1008.9,0.6,-,-9999.0,2025-11-12
