Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
06:00 pm,15.5,11.7,33.0,NNW,9.0 5.0,22.0 12.0,1015.3,0.0,-,-9999.0,2025-11-20
05:30 pm,14.4,11.2,46.0,E,9.0 5.0,13.0 7.0,1015.1,0.0,-,-9999.0,2025-11-20
05:00 pm,13.6,9.1,53.0,E,17.0 9.0,26.0 14.0,1014.9,0.0,-,-9999.0,2025-11-20
04:30 pm,15.8,12.0,45.0,E,13.0 7.0,28.0 15.0,1014.2,0.0,-,-9999.0,2025-11-20
04:00 pm,14.9,10.5,37.0,ENE,13.0 7.0,19.0 10.0,1014.0,0.0,-,-9999.0,2025-11-20
03:30 pm,15.6,10.5,30.0,S,15.0 8.0,35.0 19.0,1013.7,0.0,-,-9999.0,2025-11-20
03:00 pm,14.7,10.6,43.0,E,13.0 7.0,19.0 10.0,1013.6,0.0,-,-9999.0,2025-11-20
02:30 pm,15.0,11.4,45.0,E,11.0 6.0,15.0 8.0,1013.5,0.0,-,-9999.0,2025-11-20
02:00 pm,13.6,9.0,43.0,NE,15.0 8.0,33.0 18.0,1013.6,0.0,-,-9999.0,2025-11-20
01:30 pm,13.9,9.0,44.0,SSW,17.0 9.0,35.0 19.0,1013.1,0.0,-,-9999.0,2025-11-20
01:00 pm,15.3,11.6,41.0,N,11.0 6.0,17.0 9.0,1013.0,0.0,-,-9999.0,2025-11-20
12:35 pm,12.9,5.1,46.0,WSW,32.0 17.0,50.0 27.0,1013.1,0.0,-,-9999.0,2025-11-20
12:30 pm,12.3,4.2,46.0,WSW,33.0 18.0,50.0 27.0,1013.0,0.0,-,-9999.0,2025-11-20
12:19 pm,13.6,6.4,42.0,SW,28.0 15.0,50.0 27.0,1012.8,0.0,-,-9999.0,2025-11-20
12:00 pm,15.6,8.9,31.0,SW,24.0 13.0,39.0 21.0,1012.5,0.0,-,-9999.0,2025-11-20
11:30 am,14.8,9.0,36.0,SW,20.0 11.0,37.0 20.0,1012.5,0.0,-,-9999.0,2025-11-20
11:00 am,13.1,8.4,44.0,NNW,15.0 8.0,32.0 17.0,1012.4,0.0,-,-9999.0,2025-11-20
10:30 am,12.8,9.0,46.0,NE,11.0 6.0,20.0 11.0,1012.0,0.0,-,-9999.0,2025-11-20
10:00 am,12.9,9.2,41.0,N,9.0 5.0,17.0 9.0,1011.7,0.0,-,-9999.0,2025-11-20
09:30 am,13.2,8.7,48.0,N,15.0 8.0,22.0 12.0,1011.5,0.0,-,-9999.0,2025-11-20
09:00 am,11.8,6.5,51.0,NNW,19.0 10.0,24.0 13.0,1011.3,0.0,-,-9999.0,2025-11-20
08:30 am,10.7,4.8,54.0,NNW,22.0 12.0,30.0 16.0,1011.0,0.0,-,-9999.0,2025-11-20
08:00 am,10.4,4.5,55.0,NNW,22.0 12.0,32.0 17.0,1010.2,0.0,-,-9999.0,2025-11-20
07:30 am,9.9,4.6,58.0,NW,19.0 10.0,28.0 15.0,1009.8,0.0,-,-9999.0,2025-11-20
07:00 am,8.9,4.3,61.0,NW,15.0 8.0,22.0 12.0,1009.6,0.0,-,-9999.0,2025-11-20
06:30 am,8.1,3.2,64.0,NW,17.0 9.0,26.0 14.0,1009.3,0.0,-,-9999.0,2025-11-20
06:00 am,7.7,1.8,65.0,NNW,22.0 12.0,33.0 18.0,1008.6,0.0,-,-9999.0,2025-11-20
05:30 am,7.4,1.8,66.0,N,20.0 11.0,32.0 17.0,1008.1,0.0,-,-9999.0,2025-11-20
05:00 am,7.4,1.1,67.0,N,24.0 13.0,35.0 19.0,1007.6,0.0,-,-9999.0,2025-11-20
04:30 am,7.3,1.4,68.0,N,22.0 12.0,32.0 17.0,1007.3,0.0,-,-9999.0,2025-11-20
04:00 am,7.4,2.8,67.0,N,15.0 8.0,20.0 11.0,1007.4,0.0,-,-9999.0,2025-11-20
03:30 am,7.9,2.3,64.0,NNW,20.0 11.0,30.0 16.0,1007.1,0.0,-,-9999.0,2025-11-20
03:00 am,8.0,2.7,64.0,N,19.0 10.0,32.0 17.0,1007.0,0.0,-,-9999.0,2025-11-20
02:30 am,7.7,3.1,66.0,N,15.0 8.0,22.0 12.0,1006.8,0.0,-,-9999.0,2025-11-20
02:00 am,7.6,2.7,66.0,N,17.0 9.0,24.0 13.0,1006.6,0.0,-,-9999.0,2025-11-20
01:30 am,7.8,2.0,67.0,N,22.0 12.0,33.0 18.0,1006.2,0.0,-,-9999.0,2025-11-20
01:00 am,8.1,2.7,63.0,N,19.0 10.0,30.0 16.0,1006.0,0.0,-,-9999.0,2025-11-20
12:30 am,9.0,2.9,56.0,NNW,22.0 12.0,33.0 18.0,1006.0,0.0,-,-9999.0,2025-11-20
12:28 am,9.0,3.0,57.0,NNW,22.0 12.0,33.0 18.0,1005.9,0.0,-,-9999.0,2025-11-20
12:00 am,8.4,5.4,65.0,N,7.0 4.0,11.0 6.0,1005.9,0.0,-,-9999.0,2025-11-20
11:30 pm,8.8,5.1,64.0,SSW,11.0 6.0,17.0 9.0,1005.8,0.0,-,-9999.0,2025-11-19
11:00 pm,9.7,4.2,54.0,NW,19.0 10.0,32.0 17.0,1005.3,0.0,-,-9999.0,2025-11-19
10:30 pm,9.9,3.5,53.0,NW,24.0 13.0,35.0 19.0,1005.1,0.0,-,-9999.0,2025-11-19
10:00 pm,10.1,3.3,52.0,NW,26.0 14.0,41.0 22.0,1004.8,0.0,-,-9999.0,2025-11-19
