Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
06:00 am,13.9,12.0,72.0,NW,9.0 5.0,15.0 8.0,1007.8,0.8,-,-9999.0,2025-11-18
05:30 am,14.1,12.5,71.0,WNW,7.0 4.0,15.0 8.0,1007.9,0.8,-,-9999.0,2025-11-18
05:00 am,14.1,11.8,71.0,NW,11.0 6.0,15.0 8.0,1007.7,0.8,-,-9999.0,2025-11-18
04:30 am,14.2,12.3,71.0,NW,9.0 5.0,15.0 8.0,1007.6,0.8,-,-9999.0,2025-11-18
04:00 am,14.1,12.6,72.0,NNW,7.0 4.0,11.0 6.0,1007.5,0.8,-,-9999.0,2025-11-18
03:30 am,14.1,11.8,72.0,NW,11.0 6.0,22.0 12.0,1007.5,0.8,-,-9999.0,2025-11-18
03:00 am,14.2,12.3,72.0,WNW,9.0 5.0,15.0 8.0,1007.7,0.8,-,-9999.0,2025-11-18
02:30 am,14.3,12.8,71.0,W,7.0 4.0,20.0 11.0,1007.8,0.8,-,-9999.0,2025-11-18
02:00 am,14.4,11.7,70.0,WNW,13.0 7.0,20.0 11.0,1007.8,0.8,-,-9999.0,2025-11-18
01:30 am,14.5,12.3,72.0,W,11.0 6.0,20.0 11.0,1007.7,0.8,-,-9999.0,2025-11-18
01:00 am,14.3,14.0,76.0,W,2.0 1.0,11.0 6.0,1007.5,0.8,-,-9999.0,2025-11-18
12:30 am,14.4,13.2,77.0,W,7.0 4.0,17.0 9.0,1007.6,0.8,-,-9999.0,2025-11-18
12:00 am,14.7,13.4,74.0,WSW,7.0 4.0,13.0 7.0,1007.7,0.8,-,-9999.0,2025-11-18
11:30 pm,14.7,13.5,72.0,W,6.0 3.0,20.0 11.0,1007.7,0.8,-,-9999.0,2025-11-17
11:00 pm,14.9,13.3,74.0,WSW,9.0 5.0,20.0 11.0,1007.6,0.8,-,-9999.0,2025-11-17
10:30 pm,15.0,13.8,73.0,W,7.0 4.0,17.0 9.0,1007.7,0.8,-,-9999.0,2025-11-17
10:00 pm,15.2,14.1,75.0,W,7.0 4.0,17.0 9.0,1007.5,0.8,-,-9999.0,2025-11-17
09:30 pm,15.1,13.0,78.0,W,13.0 7.0,24.0 13.0,1007.0,0.8,-,-9999.0,2025-11-17
09:00 pm,15.3,14.0,77.0,W,9.0 5.0,19.0 10.0,1006.3,0.8,-,-9999.0,2025-11-17
08:30 pm,15.3,14.6,78.0,WSW,6.0 3.0,15.0 8.0,1005.8,0.8,-,-9999.0,2025-11-17
08:00 pm,16.0,14.9,70.0,WNW,7.0 4.0,20.0 11.0,1005.7,0.8,-,-9999.0,2025-11-17
07:30 pm,16.2,15.0,68.0,WSW,7.0 4.0,17.0 9.0,1005.4,0.8,-,-9999.0,2025-11-17
07:00 pm,16.0,14.7,68.0,NW,7.0 4.0,13.0 7.0,1005.1,0.8,-,-9999.0,2025-11-17
06:30 pm,15.9,14.3,69.0,NW,9.0 5.0,17.0 9.0,1004.9,0.8,-,-9999.0,2025-11-17
06:00 pm,16.2,14.0,64.0,W,11.0 6.0,20.0 11.0,1004.8,0.8,-,-9999.0,2025-11-17
05:30 pm,16.3,14.6,65.0,WNW,9.0 5.0,28.0 15.0,1004.8,0.8,-,-9999.0,2025-11-17
05:00 pm,15.7,13.3,70.0,NW,13.0 7.0,26.0 14.0,1004.7,0.8,-,-9999.0,2025-11-17
