Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,7.5,2.0,61,NW,19 10,24 13,1015.7,0.0,2025-09-20
11:00 pm,7.7,2.5,59,NW,17 9,24 13,1015.7,0.0,2025-09-20
10:30 pm,7.6,2.1,61,NW,19 10,28 15,1015.6,0.0,2025-09-20
10:00 pm,7.2,2.1,64,NW,17 9,26 14,1015.6,0.0,2025-09-20
9:30 pm,7.2,2.1,64,NNW,17 9,22 12,1015.3,0.0,2025-09-20
9:00 pm,6.7,1.9,64,NNW,15 8,22 12,1015.4,0.0,2025-09-20
8:30 pm,7.3,1.2,62,WNW,22 12,32 17,1015.2,0.0,2025-09-20
8:00 pm,7.6,1.1,60,WNW,24 13,32 17,1014.8,0.0,2025-09-20
7:30 pm,7.7,1.2,60,NW,24 13,30 16,1014.6,0.0,2025-09-20
7:00 pm,7.9,1.4,60,NW,24 13,35 19,1014.0,0.0,2025-09-20
6:30 pm,8.9,2.4,55,WNW,24 13,33 18,1013.3,0.0,2025-09-20
6:00 pm,9.0,3.3,55,NW,20 11,30 16,1012.7,0.0,2025-09-20
5:30 pm,10.1,2.9,51,WNW,28 15,39 21,1012.0,0.0,2025-09-20
5:00 pm,11.2,2.9,46,WNW,33 18,43 23,1011.3,0.0,2025-09-20
4:30 pm,12.0,4.0,44,WNW,32 17,41 22,1011.2,0.0,2025-09-20
4:00 pm,12.9,4.8,44,WNW,33 18,43 23,1010.7,0.0,2025-09-20
3:31 pm,12.7,5.1,43,WNW,30 16,50 27,1010.5,0.0,2025-09-20
3:30 pm,12.7,5.5,44,WNW,28 15,43 23,1010.5,0.0,2025-09-20
