Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.4,10.6,57,NW,9 5,22 12,1013.4,0.0,2025-09-20
11:00 pm,13.4,10.1,56,NNW,11 6,24 13,1013.3,0.0,2025-09-20
10:30 pm,13.4,10.1,56,NNW,11 6,19 10,1013.3,0.0,2025-09-20
10:00 pm,13.5,10.2,55,WNW,11 6,20 11,1013.2,0.0,2025-09-20
9:30 pm,13.7,10.4,54,NW,11 6,20 11,1013.3,0.0,2025-09-20
9:00 pm,14.0,11.0,51,WNW,9 5,17 9,1013.5,0.0,2025-09-20
8:30 pm,14.0,10.9,50,WNW,9 5,17 9,1013.5,0.0,2025-09-20
8:00 pm,14.3,10.4,48,WNW,13 7,22 12,1013.4,0.0,2025-09-20
7:30 pm,14.5,11.2,45,WNW,9 5,17 9,1013.1,0.0,2025-09-20
7:00 pm,14.3,11.1,46,WNW,9 5,15 8,1012.5,0.0,2025-09-20
6:30 pm,14.3,11.5,46,WNW,7 4,11 6,1012.0,0.0,2025-09-20
6:00 pm,14.4,10.8,46,WNW,11 6,22 12,1012.1,0.0,2025-09-20
5:30 pm,14.5,11.9,46,WNW,6 3,15 8,1011.8,0.0,2025-09-20
5:00 pm,14.4,11.2,46,NW,9 5,20 11,1011.6,0.0,2025-09-20
4:30 pm,14.7,10.7,44,WNW,13 7,22 12,1011.5,0.0,2025-09-20
4:00 pm,14.4,10.5,47,NW,13 7,20 11,1011.4,0.0,2025-09-20
3:30 pm,14.9,10.4,42,WNW,15 8,30 16,1011.5,0.0,2025-09-20
3:00 pm,14.9,10.6,39,W,13 7,22 12,1011.6,0.0,2025-09-20
2:30 pm,14.8,10.5,46,NW,15 8,24 13,1011.5,0.0,2025-09-20
2:00 pm,14.2,10.1,45,WNW,13 7,20 11,1011.6,0.0,2025-09-20
1:30 pm,14.5,11.0,48,WNW,11 6,26 14,1011.7,0.0,2025-09-20
1:00 pm,13.3,8.8,54,W,17 9,35 19,1012.0,0.0,2025-09-20
12:30 pm,13.5,9.8,46,W,11 6,26 14,1011.9,0.0,2025-09-20
12:00 pm,13.8,10.0,52,WNW,13 7,26 14,1012.1,0.0,2025-09-20
