Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,7.3,2.4,70,NNW,17 9,24 13,1006.6,1.2,2025-09-21
11:00 pm,7.3,2.0,69,N,19 10,26 14,1006.3,1.2,2025-09-21
10:30 pm,7.6,3.5,68,N,13 7,26 14,1005.8,1.2,2025-09-21
10:00 pm,8.6,3.0,60,NW,20 11,39 21,1005.3,1.2,2025-09-21
9:30 pm,8.3,3.3,62,NNW,17 9,30 16,1004.7,1.2,2025-09-21
9:00 pm,8.7,4.0,58,NNW,15 8,26 14,1004.4,1.2,2025-09-21
8:30 pm,8.8,4.8,55,ENE,11 6,17 9,1003.9,1.2,2025-09-21
8:00 pm,9.4,5.0,53,NNW,13 7,26 14,1003.1,1.2,2025-09-21
7:30 pm,8.9,5.5,60,NE,9 5,15 8,1002.5,1.2,2025-09-21
7:00 pm,8.7,4.7,66,N,13 7,30 16,1002.4,1.2,2025-09-21
6:30 pm,9.7,4.1,56,WNW,20 11,37 20,1002.0,1.2,2025-09-21
6:00 pm,9.5,5.7,67,SSE,13 7,19 10,1001.8,1.2,2025-09-21
5:30 pm,10.5,7.2,67,NE,11 6,17 9,1000.9,1.2,2025-09-21
5:00 pm,11.2,6.1,62,NW,20 11,35 19,1000.5,1.2,2025-09-21
4:30 pm,12.9,7.2,51,NNW,22 12,33 18,999.3,1.2,2025-09-21
4:12 pm,12.3,5.7,57,NNW,28 15,48 26,999.0,1.2,2025-09-21
4:00 pm,12.3,5.6,56,WSW,28 15,43 23,999.3,1.2,2025-09-21
3:50 pm,13.5,8.3,51,WSW,20 11,43 23,999.0,1.2,2025-09-21
3:30 pm,14.7,11.4,44,NNE,9 5,20 11,998.5,1.2,2025-09-21
3:00 pm,15.0,9.1,40,WNW,22 12,48 26,998.6,1.2,2025-09-21
2:55 pm,15.0,8.0,42,WNW,28 15,48 26,998.4,1.2,2025-09-21
2:30 pm,15.3,10.3,45,NW,19 10,39 21,998.3,1.2,2025-09-21
