Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.6,12.1,58,NNE,9 5,13 7,1014.0,0.0,2025-09-25
11:00 pm,14.9,11.9,56,NE,11 6,15 8,1014.5,0.0,2025-09-25
10:30 pm,14.7,12.6,59,NNE,7 4,11 6,1014.8,0.0,2025-09-25
10:00 pm,15.1,13.0,57,NNE,7 4,11 6,1015.0,0.0,2025-09-25
9:30 pm,15.8,13.7,54,N,7 4,11 6,1015.3,0.0,2025-09-25
9:00 pm,15.7,13.5,53,NNW,7 4,11 6,1015.6,0.0,2025-09-25
8:30 pm,16.3,14.0,50,N,7 4,11 6,1015.6,0.0,2025-09-25
8:00 pm,16.0,13.9,50,N,6 3,9 5,1015.7,0.0,2025-09-25
7:30 pm,16.1,14.2,47,N,4 2,7 4,1015.5,0.0,2025-09-25
7:00 pm,16.0,14.8,47,CALM,0 0,0 0,1015.4,0.0,2025-09-25
6:30 pm,16.7,15.4,43,CALM,0 0,0 0,1015.3,0.0,2025-09-25
6:00 pm,18.1,15.6,39,WSW,6 3,7 4,1015.3,0.0,2025-09-25
5:30 pm,19.4,15.8,33,W,11 6,15 8,1015.7,0.0,2025-09-25
5:00 pm,21.0,17.0,30,W,13 7,20 11,1015.7,0.0,2025-09-25
4:30 pm,21.2,17.1,28,WNW,13 7,20 11,1015.7,0.0,2025-09-25
4:00 pm,21.4,16.9,28,WNW,15 8,22 12,1015.9,0.0,2025-09-25
3:30 pm,20.9,16.3,32,WNW,17 9,26 14,1016.1,0.0,2025-09-25
3:00 pm,20.8,16.8,35,WNW,15 8,22 12,1016.4,0.0,2025-09-25
2:30 pm,20.8,17.3,41,WNW,15 8,24 13,1016.8,0.0,2025-09-25
2:00 pm,20.2,16.8,49,NW,17 9,22 12,1017.2,0.0,2025-09-25
1:30 pm,19.6,16.8,54,WNW,15 8,22 12,1017.8,0.0,2025-09-25
1:00 pm,18.5,15.2,56,NW,17 9,26 14,1018.2,0.0,2025-09-25
