Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:00 am,8.7,2.2,56,N,24 13,35 19,1014.9,2.4,2025-10-13
8:30 am,8.0,3.3,60,N,15 8,24 13,1014.7,2.4,2025-10-13
8:00 am,6.9,1.3,62,N,19 10,30 16,1014.5,2.4,2025-10-13
7:30 am,5.7,0.0,68,N,20 11,28 15,1014.3,2.4,2025-10-13
7:00 am,4.6,-0.2,72,NNW,15 8,24 13,1014.2,2.4,2025-10-13
6:30 am,4.2,-1.1,72,N,17 9,30 16,1013.9,2.4,2025-10-13
6:00 am,4.5,-1.2,70,NNW,19 10,24 13,1013.5,2.4,2025-10-13
5:30 am,4.4,-0.2,68,N,13 7,17 9,1013.0,2.4,2025-10-13
5:00 am,4.6,0.1,69,N,13 7,20 11,1012.9,2.4,2025-10-13
4:30 am,4.8,-0.5,67,N,17 9,22 12,1012.4,2.4,2025-10-13
4:00 am,4.8,-0.9,68,N,19 10,28 15,1012.2,2.4,2025-10-13
3:30 am,5.2,0.3,66,N,15 8,20 11,1012.1,2.4,2025-10-13
3:00 am,5.5,1.0,65,NNW,13 7,20 11,1011.9,2.4,2025-10-13
2:30 am,5.5,1.0,65,N,13 7,17 9,1011.6,2.4,2025-10-13
2:00 am,6.3,1.7,60,NW,13 7,19 10,1011.3,2.4,2025-10-13
1:30 am,6.3,1.4,61,NW,15 8,26 14,1011.4,2.4,2025-10-13
1:00 am,6.6,1.3,60,WNW,17 9,24 13,1011.4,2.4,2025-10-13
12:30 am,6.3,1.7,60,NW,13 7,20 11,1010.9,2.4,2025-10-13
12:00 am,6.5,2.7,60,WNW,9 5,19 10,1010.7,2.4,2025-10-13
