Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.2,11.7,84,WSW,9 5,15 8,1015.8,0.0,2025-10-11
11:00 pm,12.5,11.2,84,W,7 4,11 6,1015.8,0.0,2025-10-11
10:30 pm,13.0,11.4,83,WSW,9 5,13 7,1015.9,0.0,2025-10-11
10:00 pm,13.7,12.2,81,SW,9 5,13 7,1015.8,0.0,2025-10-11
9:30 pm,14.0,11.7,80,WSW,13 7,24 13,1015.8,0.0,2025-10-11
9:00 pm,14.1,12.7,81,SW,9 5,19 10,1015.7,0.0,2025-10-11
8:30 pm,13.9,12.4,81,SW,9 5,13 7,1015.8,0.0,2025-10-11
8:00 pm,14.5,12.7,78,SW,11 6,19 10,1015.7,0.0,2025-10-11
7:30 pm,14.7,12.5,77,SW,13 7,20 11,1015.6,0.0,2025-10-11
7:00 pm,15.0,12.7,75,SW,13 7,20 11,1015.5,0.0,2025-10-11
6:30 pm,16.4,14.3,72,SW,13 7,22 12,1015.2,0.0,2025-10-11
6:00 pm,17.2,14.7,68,WSW,15 8,22 12,1014.9,0.0,2025-10-11
5:30 pm,17.8,16.1,65,SW,11 6,19 10,1014.8,0.0,2025-10-11
5:00 pm,18.8,15.9,61,WSW,17 9,28 15,1014.8,0.0,2025-10-11
4:30 pm,19.0,15.3,49,WNW,17 9,26 14,1014.4,0.0,2025-10-11
4:00 pm,19.6,15.4,48,WNW,20 11,32 17,1014.6,0.0,2025-10-11
3:30 pm,18.6,14.0,51,WNW,22 12,33 18,1014.9,0.0,2025-10-11
3:00 pm,18.8,14.3,51,W,22 12,35 19,1015.0,0.0,2025-10-11
2:30 pm,19.0,15.2,53,W,19 10,30 16,1015.1,0.0,2025-10-11
2:00 pm,19.4,15.5,53,WNW,20 11,35 19,1015.1,0.0,2025-10-11
