Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,21.6,18.5,31,WNW,9 5,–,1013.4,0.0,2025-10-11
11:00 pm,21.8,19.1,30,WNW,7 4,–,1013.3,0.0,2025-10-11
10:30 pm,22.9,20.4,29,WNW,6 3,–,1013.4,0.0,2025-10-11
10:00 pm,24.0,20.4,25,WNW,11 6,–,1013.4,0.0,2025-10-11
9:30 pm,23.9,20.7,26,WNW,9 5,–,1013.1,0.0,2025-10-11
9:00 pm,24.7,21.5,24,WNW,9 5,–,1013.0,0.0,2025-10-11
8:30 pm,24.7,21.1,24,WNW,11 6,–,1012.5,0.0,2025-10-11
8:00 pm,25.2,20.9,24,NW,15 8,–,1012.1,0.0,2025-10-11
7:30 pm,25.8,21.2,24,NW,17 9,–,1011.7,0.0,2025-10-11
7:00 pm,26.7,21.5,21,WNW,19 10,–,1011.1,0.0,2025-10-11
6:30 pm,27.2,20.3,20,W,28 15,–,1010.6,0.0,2025-10-11
6:00 pm,27.7,21.2,20,W,26 14,–,1010.2,0.0,2025-10-11
5:30 pm,28.2,22.4,19,WNW,22 12,–,1009.8,0.0,2025-10-11
5:00 pm,28.5,22.0,16,WNW,24 13,–,1009.3,0.0,2025-10-11
4:30 pm,29.5,21.7,14,WNW,30 16,–,1009.2,0.0,2025-10-11
4:00 pm,30.0,25.3,15,WNW,15 8,–,1009.2,0.0,2025-10-11
3:30 pm,27.3,22.5,28,E,22 12,–,1009.4,0.0,2025-10-11
