Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,10.2,8.7,80,WSW,4 2,9 5,1012.5,0.0,2025-10-17
5:30 am,9.1,7.5,83,NNE,4 2,11 6,1012.7,0.0,2025-10-17
5:00 am,7.7,5.2,83,NNE,7 4,13 7,1013.3,0.0,2025-10-17
4:30 am,8.3,7.2,80,CALM,0 0,9 5,1012.3,0.0,2025-10-17
4:00 am,8.8,7.8,81,CALM,0 0,0 0,1012.4,0.0,2025-10-17
3:30 am,8.8,7.8,79,CALM,0 0,0 0,1012.8,0.0,2025-10-17
3:00 am,8.7,6.5,78,NNE,6 3,7 4,1012.9,0.0,2025-10-17
2:30 am,9.4,6.9,73,NNE,7 4,7 4,1013.1,0.0,2025-10-17
2:00 am,8.8,6.4,74,NNE,6 3,9 5,1013.7,0.0,2025-10-17
1:30 am,8.0,6.8,78,CALM,0 0,0 0,1014.0,0.0,2025-10-17
1:00 am,10.5,9.4,69,CALM,0 0,0 0,1014.4,0.0,2025-10-17
12:30 am,9.6,7.1,71,NNE,7 4,9 5,1014.4,0.0,2025-10-17
12:00 am,10.5,7.7,70,NNE,9 5,13 7,1014.4,0.0,2025-10-17
