Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,29.9,31.0,48,NNE,9 5,17 9,1010.6,0.0,2025-10-18
12:30 pm,30.3,31.8,48,NE,7 4,15 8,1010.8,0.0,2025-10-18
12:00 pm,29.6,30.4,45,NNE,7 4,15 8,1011.3,0.0,2025-10-18
11:30 am,30.3,31.7,46,ENE,6 3,11 6,1011.8,0.0,2025-10-18
11:00 am,29.6,30.2,41,NNE,6 3,11 6,1012.3,0.0,2025-10-18
10:30 am,28.3,29.2,44,SW,4 2,13 7,1013.1,0.0,2025-10-18
10:00 am,27.6,29.0,47,W,2 1,6 3,1013.3,0.0,2025-10-18
9:30 am,26.5,27.2,48,NE,4 2,9 5,1013.8,0.0,2025-10-18
9:00 am,26.4,27.4,50,NE,4 2,9 5,1014.4,0.0,2025-10-18
8:30 am,25.2,25.7,52,NW,6 3,11 6,1014.4,0.0,2025-10-18
8:00 am,24.4,24.8,55,NW,6 3,9 5,1014.8,0.0,2025-10-18
7:30 am,23.7,24.5,57,NNW,4 2,9 5,1014.8,0.0,2025-10-18
7:00 am,22.7,23.9,66,NNW,4 2,9 5,1014.8,0.0,2025-10-18
6:30 am,21.6,23.3,72,NNE,2 1,4 2,1014.5,0.0,2025-10-18
6:00 am,19.4,21.0,80,NNE,2 1,6 3,1014.2,0.0,2025-10-18
5:30 am,19.0,20.7,78,CALM,0 0,2 1,1014.3,0.0,2025-10-18
5:00 am,19.5,20.1,76,SSW,6 3,7 4,1014.5,0.0,2025-10-18
4:30 am,19.9,21.0,77,WSW,4 2,6 3,1014.4,0.0,2025-10-18
4:00 am,19.0,20.9,81,CALM,0 0,0 0,1014.3,0.0,2025-10-18
3:30 am,18.8,20.6,81,CALM,0 0,0 0,1013.9,0.0,2025-10-18
3:00 am,19.6,21.2,79,W,2 1,4 2,1013.7,0.0,2025-10-18
2:30 am,19.1,20.9,79,CALM,0 0,2 1,1013.8,0.0,2025-10-18
2:00 am,19.4,20.8,78,NNE,2 1,6 3,1014.0,0.0,2025-10-18
1:30 am,20.1,21.1,74,NNE,4 2,7 4,1014.2,0.0,2025-10-18
1:00 am,20.5,21.6,73,N,4 2,6 3,1014.6,0.0,2025-10-18
12:30 am,20.8,21.4,71,NNE,6 3,15 8,1014.8,0.0,2025-10-18
12:00 am,21.1,21.5,70,NE,7 4,13 7,1015.5,0.0,2025-10-18
