Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,19.1,18.0,68,W,11 6,24 13,1009.6,0.2,2025-10-18
5:30 am,19.0,19.0,78,W,9 5,19 10,1009.4,0.2,2025-10-18
5:00 am,19.0,19.3,83,WSW,9 5,13 7,1009.2,0.2,2025-10-18
4:30 am,18.9,19.2,83,W,9 5,15 8,1009.0,0.2,2025-10-18
4:00 am,18.1,19.0,88,WNW,6 3,13 7,1008.8,0.2,2025-10-18
3:30 am,17.4,17.2,89,NW,11 6,17 9,1008.7,0.2,2025-10-18
3:00 am,19.9,20.7,85,WNW,9 5,15 8,1008.6,0.0,2025-10-18
2:30 am,19.9,20.5,82,NW,9 5,17 9,1008.5,0.0,2025-10-18
2:00 am,19.8,20.2,85,NW,11 6,24 13,1008.6,0.0,2025-10-18
1:30 am,19.9,21.0,89,NW,9 5,22 12,1008.6,0.0,2025-10-18
1:00 am,19.9,20.9,87,NNW,9 5,17 9,1008.7,0.0,2025-10-18
12:30 am,19.7,20.7,88,NNW,9 5,20 11,1009.0,0.0,2025-10-18
12:00 am,19.7,20.7,89,NNW,9 5,17 9,1009.2,0.0,2025-10-18
