Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.7,13.4,49,NE,6 3,9 5,1013.4,0.0,2025-10-18
11:00 pm,16.2,13.7,47,NNE,7 4,11 6,1013.4,0.0,2025-10-18
10:30 pm,16.4,13.8,45,NNE,7 4,11 6,1013.5,0.0,2025-10-18
10:00 pm,16.8,13.8,43,N,9 5,13 7,1013.8,0.0,2025-10-18
9:30 pm,17.2,14.7,41,NNE,6 3,15 8,1013.7,0.0,2025-10-18
9:00 pm,17.5,15.0,40,NNE,6 3,11 6,1013.8,0.0,2025-10-18
8:30 pm,15.6,14.4,54,SE,2 1,11 6,1013.7,0.0,2025-10-18
8:00 pm,15.7,15.1,57,CALM,0 0,0 0,1013.5,0.0,2025-10-18
7:30 pm,16.8,15.9,49,CALM,0 0,0 0,1013.6,0.0,2025-10-18
7:00 pm,18.2,16.0,43,SSW,6 3,9 5,1013.8,0.0,2025-10-18
6:30 pm,19.3,17.3,42,SSW,6 3,9 5,1013.8,0.0,2025-10-18
6:00 pm,19.3,17.0,41,SW,7 4,13 7,1014.2,0.0,2025-10-18
5:30 pm,18.9,16.2,41,SSW,9 5,13 7,1014.7,0.0,2025-10-18
5:00 pm,18.2,14.6,42,SSW,13 7,19 10,1015.0,0.0,2025-10-18
4:30 pm,18.8,16.2,43,SSW,9 5,15 8,1015.2,0.0,2025-10-18
4:00 pm,19.2,15.7,41,SSW,13 7,19 10,1015.3,0.0,2025-10-18
3:30 pm,18.6,16.1,40,S,7 4,11 6,1015.7,0.0,2025-10-18
3:00 pm,18.3,15.8,41,SW,7 4,15 8,1016.2,0.0,2025-10-18
2:30 pm,17.7,14.4,42,SSW,11 6,19 10,1016.8,0.0,2025-10-18
