Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Cloud,Cloud Oktas,Date
10:30 am,20.7,18.4,42.0,SSW,9.0 5.0,19.0 10.0,1018.1,0.0,-,-9999.0,2025-11-15
10:00 am,19.6,16.4,43.0,S,13.0 7.0,22.0 12.0,1018.4,0.0,-,-9999.0,2025-11-15
09:30 am,19.4,17.0,44.0,SSE,9.0 5.0,20.0 11.0,1018.5,0.0,-,-9999.0,2025-11-15
09:00 am,18.7,15.7,49.0,SE,13.0 7.0,24.0 13.0,1018.6,0.0,-,-9999.0,2025-11-15
08:30 am,18.0,16.3,53.0,ESE,7.0 4.0,11.0 6.0,1018.8,0.0,-,-9999.0,2025-11-15
08:00 am,16.8,14.3,57.0,SSE,11.0 6.0,20.0 11.0,1018.9,0.0,-,-9999.0,2025-11-15
07:30 am,15.7,13.1,59.0,SSE,11.0 6.0,17.0 9.0,1018.8,0.0,-,-9999.0,2025-11-15
07:00 am,15.0,12.4,62.0,SSE,11.0 6.0,19.0 10.0,1018.6,0.0,-,-9999.0,2025-11-15
06:30 am,13.7,11.0,66.0,S,11.0 6.0,22.0 12.0,1018.2,0.0,-,-9999.0,2025-11-15
06:00 am,12.9,11.1,72.0,S,7.0 4.0,13.0 7.0,1017.9,0.0,-,-9999.0,2025-11-15
05:30 am,12.1,10.3,76.0,S,7.0 4.0,11.0 6.0,1017.3,0.0,-,-9999.0,2025-11-15
05:00 am,10.9,10.5,84.0,CALM,0.0 0.0,0.0 0.0,1016.9,0.0,-,-9999.0,2025-11-15
04:30 am,11.7,11.3,80.0,CALM,0.0 0.0,0.0 0.0,1016.7,0.0,-,-9999.0,2025-11-15
04:00 am,12.5,10.9,75.0,SSE,6.0 3.0,9.0 5.0,1016.2,0.0,-,-9999.0,2025-11-15
03:30 am,13.3,11.6,71.0,S,7.0 4.0,13.0 7.0,1016.1,0.0,-,-9999.0,2025-11-15
03:00 am,14.0,11.9,68.0,SSE,9.0 5.0,13.0 7.0,1015.9,0.0,-,-9999.0,2025-11-15
02:30 am,14.3,12.2,67.0,SSE,9.0 5.0,17.0 9.0,1015.6,0.0,-,-9999.0,2025-11-15
02:00 am,14.6,12.5,66.0,SSE,9.0 5.0,13.0 7.0,1015.2,0.0,-,-9999.0,2025-11-15
01:30 am,15.0,12.6,65.0,SSE,11.0 6.0,15.0 8.0,1015.1,0.0,-,-9999.0,2025-11-15
01:00 am,15.3,12.6,65.0,SSE,13.0 7.0,19.0 10.0,1015.0,0.0,-,-9999.0,2025-11-15
12:30 am,15.6,12.9,65.0,SSE,13.0 7.0,20.0 11.0,1014.9,0.0,-,-9999.0,2025-11-15
12:00 am,15.8,13.5,64.0,SSE,11.0 6.0,19.0 10.0,1014.7,0.0,-,-9999.0,2025-11-15
