Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.6,22.4,96,ESE,2 1,4 2,1021.3,68.6,2024-11-16
11:00 pm,19.9,23.0,97,E,2 1,4 2,1021.6,68.6,2024-11-16
10:30 pm,20.0,23.1,97,ENE,2 1,9 5,1021.8,68.6,2024-11-16
10:00 pm,19.9,23.3,97,CALM,0 0,0 0,1021.9,68.6,2024-11-16
9:30 pm,20.2,23.3,96,ENE,2 1,6 3,1021.8,68.6,2024-11-16
9:00 pm,20.6,23.9,96,ESE,2 1,4 2,1021.8,68.6,2024-11-16
8:30 pm,20.4,23.7,97,ESE,2 1,4 2,1021.8,68.6,2024-11-16
8:00 pm,20.2,23.8,97,CALM,0 0,0 0,1021.9,68.6,2024-11-16
7:30 pm,19.8,23.1,96,CALM,0 0,0 0,1021.7,68.6,2024-11-16
7:00 pm,20.1,23.5,96,CALM,0 0,0 0,1021.6,68.6,2024-11-16
6:30 pm,20.3,23.8,95,CALM,0 0,4 2,1021.5,68.6,2024-11-16
6:00 pm,20.5,23.1,93,NE,4 2,7 4,1021.2,68.6,2024-11-16
5:30 pm,20.6,23.4,94,ENE,4 2,7 4,1020.7,68.6,2024-11-16
5:00 pm,20.4,22.7,94,E,6 3,13 7,1020.3,68.6,2024-11-16
4:30 pm,20.5,22.7,95,E,7 4,13 7,1020.2,67.6,2024-11-16
4:00 pm,20.9,23.6,96,E,6 3,7 4,1020.1,66.4,2024-11-16
