Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:00 pm,22.8,18.6,33,WNW,17 9,–,1016.2,0.0,2025-09-24
11:30 am,21.7,16.1,34,WNW,24 13,–,1016.8,0.0,2025-09-24
11:00 am,20.8,16.4,39,WNW,19 10,–,1017.2,0.0,2025-09-24
10:30 am,19.4,14.6,40,WNW,20 11,–,1017.5,0.0,2025-09-24
10:00 am,18.8,13.3,43,W,24 13,–,1018.0,0.0,2025-09-24
9:30 am,17.9,11.9,44,W,26 14,–,1018.3,0.0,2025-09-24
9:00 am,16.8,11.3,48,WNW,24 13,–,1018.6,0.0,2025-09-24
8:30 am,15.8,10.8,54,W,22 12,–,1018.7,0.0,2025-09-24
8:00 am,14.0,10.7,60,W,13 7,–,1018.9,0.0,2025-09-24
7:30 am,12.6,8.5,66,WNW,17 9,–,1019.1,0.0,2025-09-24
7:00 am,11.0,7.3,72,W,15 8,–,1019.3,0.0,2025-09-24
6:30 am,10.5,6.8,74,W,15 8,–,1019.3,0.0,2025-09-24
6:00 am,9.8,6.4,76,W,13 7,–,1019.3,0.0,2025-09-24
5:30 am,9.8,6.4,76,W,13 7,–,1019.3,0.0,2025-09-24
5:00 am,10.2,6.1,75,W,17 9,–,1019.4,0.0,2025-09-24
4:30 am,10.4,6.3,75,W,17 9,–,1019.5,0.0,2025-09-24
4:00 am,10.0,5.9,76,W,17 9,–,1019.6,0.0,2025-09-24
3:30 am,10.2,6.1,76,W,17 9,–,1019.9,0.0,2025-09-24
3:00 am,10.3,6.0,80,WNW,19 10,–,1020.2,0.0,2025-09-24
2:30 am,10.5,6.2,78,WNW,19 10,–,1020.6,0.0,2025-09-24
2:00 am,10.7,7.5,77,W,13 7,–,1021.1,0.0,2025-09-24
1:30 am,10.6,8.3,80,WNW,9 5,–,1021.4,0.0,2025-09-24
1:00 am,10.8,6.9,79,WNW,17 9,–,1021.9,0.0,2025-09-24
12:30 am,10.9,7.1,80,W,17 9,–,1022.3,0.0,2025-09-24
12:00 am,11.3,8.0,80,WNW,15 8,–,1022.6,0.0,2025-09-24
