Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.7,5.2,63,N,22 12,33 18,1000.8,0.4,2025-10-02
11:00 pm,10.8,5.8,60,N,19 10,28 15,1000.5,0.4,2025-10-02
10:30 pm,10.7,6.0,60,N,17 9,26 14,1000.6,0.4,2025-10-02
10:00 pm,11.0,6.8,62,N,15 8,24 13,1000.4,0.4,2025-10-02
9:30 pm,11.1,4.8,69,N,28 15,39 21,999.9,0.4,2025-10-02
9:00 pm,11.4,8.5,71,NNW,11 6,20 11,999.9,0.4,2025-10-02
8:30 pm,11.5,9.0,71,SE,9 5,13 7,999.5,0.4,2025-10-02
8:00 pm,11.0,9.1,79,N,7 4,11 6,999.0,0.4,2025-10-02
7:30 pm,10.9,8.6,79,N,9 5,15 8,998.6,0.4,2025-10-02
7:00 pm,10.9,8.6,80,N,9 5,15 8,997.8,0.4,2025-10-02
6:30 pm,11.0,9.0,78,N,7 4,11 6,997.0,0.4,2025-10-02
6:00 pm,11.4,7.9,76,N,15 8,20 11,996.2,0.4,2025-10-02
5:30 pm,12.1,8.9,71,N,13 7,20 11,995.3,0.2,2025-10-02
5:00 pm,11.6,8.4,73,N,13 7,17 9,994.7,0.2,2025-10-02
4:30 pm,12.6,7.8,63,NNW,20 11,30 16,994.2,0.0,2025-10-02
4:00 pm,14.3,9.4,50,NW,19 10,30 16,993.4,0.0,2025-10-02
3:30 pm,14.8,9.6,46,NNW,20 11,30 16,992.9,0.0,2025-10-02
3:00 pm,14.9,9.6,45,NNW,20 11,30 16,992.8,0.0,2025-10-02
2:30 pm,16.9,11.5,38,NW,20 11,41 22,992.7,0.0,2025-10-02
2:00 pm,15.4,9.2,41,NNW,24 13,39 21,992.7,0.0,2025-10-02
1:30 pm,15.9,9.1,42,NW,28 15,50 27,992.9,0.0,2025-10-02
1:20 pm,15.1,8.1,41,NNW,28 15,46 25,993.0,0.0,2025-10-02
1:00 pm,14.1,7.6,45,WNW,26 14,43 23,993.2,0.0,2025-10-02
12:46 pm,15.0,8.0,41,NW,28 15,46 25,993.0,0.0,2025-10-02
12:30 pm,16.4,10.1,36,NNW,24 13,37 20,993.0,0.0,2025-10-02
12:04 pm,16.2,9.1,36,NW,28 15,46 25,993.2,0.0,2025-10-02
12:00 pm,16.2,8.6,35,NNW,30 16,41 22,993.2,0.0,2025-10-02
