Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:30 pm,8.0,1.2,72,W,28 15,39 21,1004.6,0.2,2025-10-12
1:00 pm,9.8,5.3,58,WNW,15 8,35 19,1004.4,0.0,2025-10-12
12:30 pm,11.8,6.1,46,N,20 11,35 19,1004.4,0.0,2025-10-12
12:00 pm,10.6,5.3,60,WNW,20 11,28 15,1004.5,0.0,2025-10-12
11:30 am,11.3,4.9,48,N,24 13,41 22,1004.8,0.0,2025-10-12
11:00 am,11.4,4.9,47,N,24 13,35 19,1004.6,0.0,2025-10-12
10:30 am,11.7,5.7,48,N,22 12,33 18,1004.9,0.0,2025-10-12
10:00 am,10.9,5.2,49,N,20 11,32 17,1005.0,0.0,2025-10-12
9:30 am,9.9,5.0,57,N,17 9,24 13,1005.4,0.0,2025-10-12
9:00 am,8.7,3.7,61,N,17 9,24 13,1005.6,0.8,2025-10-12
8:30 am,7.4,2.0,65,N,19 10,30 16,1005.3,0.8,2025-10-12
8:00 am,7.6,2.9,64,N,15 8,20 11,1005.2,0.8,2025-10-12
7:30 am,6.4,3.3,69,NNW,7 4,17 9,1005.1,0.8,2025-10-12
7:00 am,5.7,2.2,72,N,9 5,15 8,1004.9,0.8,2025-10-12
6:30 am,5.5,0.8,73,N,15 8,24 13,1004.7,0.8,2025-10-12
6:00 am,5.6,0.5,71,N,17 9,28 15,1004.4,0.8,2025-10-12
5:30 am,5.7,0.6,70,N,17 9,30 16,1004.1,0.8,2025-10-12
5:00 am,6.0,0.3,68,N,20 11,30 16,1004.3,0.8,2025-10-12
4:30 am,6.1,0.0,67,N,22 12,33 18,1004.2,0.8,2025-10-12
4:00 am,6.0,0.5,68,N,19 10,24 13,1004.2,0.8,2025-10-12
3:30 am,6.2,0.5,67,N,20 11,32 17,1003.9,0.8,2025-10-12
3:00 am,6.3,-0.2,67,N,24 13,39 21,1003.9,0.8,2025-10-12
2:30 am,6.2,0.1,68,N,22 12,33 18,1003.8,0.8,2025-10-12
2:00 am,6.4,0.0,67,N,24 13,35 19,1004.0,0.8,2025-10-12
1:30 am,6.4,0.3,66,N,22 12,32 17,1004.0,0.8,2025-10-12
1:00 am,6.4,0.3,66,N,22 12,35 19,1004.1,0.8,2025-10-12
12:30 am,6.5,0.4,66,N,22 12,39 21,1003.9,0.8,2025-10-12
12:00 am,6.5,1.0,65,N,19 10,32 17,1004.0,0.8,2025-10-12
