Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:30 pm,28.5,22.5,23,N,26 14,48 26,1010.2,0.0,2025-10-16
1:00 pm,27.5,23.0,30,N,22 12,39 21,1011.0,0.0,2025-10-16
12:30 pm,26.9,21.4,29,N,26 14,43 23,1011.9,0.0,2025-10-16
12:15 pm,26.5,20.5,29,N,28 15,46 25,1012.3,0.0,2025-10-16
12:00 pm,26.4,21.5,29,N,22 12,41 22,1012.7,0.0,2025-10-16
11:32 am,25.7,19.5,29,NNW,28 15,48 26,1013.4,0.0,2025-10-16
11:30 am,26.0,20.5,31,N,26 14,44 24,1013.4,0.0,2025-10-16
11:00 am,24.9,18.8,31,N,28 15,44 24,1013.8,0.0,2025-10-16
10:30 am,24.5,19.9,31,N,20 11,35 19,1014.1,0.0,2025-10-16
10:00 am,23.7,19.0,32,N,20 11,35 19,1014.4,0.0,2025-10-16
9:30 am,22.3,16.8,35,N,24 13,44 24,1014.6,0.0,2025-10-16
9:00 am,21.3,16.5,36,N,20 11,35 19,1014.9,0.0,2025-10-16
8:30 am,19.2,15.0,41,N,17 9,26 14,1015.5,0.0,2025-10-16
8:00 am,17.3,13.9,47,N,13 7,20 11,1015.4,0.0,2025-10-16
7:30 am,14.8,11.8,56,N,11 6,19 10,1015.3,0.0,2025-10-16
7:00 am,12.2,9.8,71,N,9 5,15 8,1015.2,0.0,2025-10-16
6:30 am,10.7,7.6,79,NNE,13 7,17 9,1015.1,0.0,2025-10-16
6:00 am,11.1,8.8,78,NNE,9 5,13 7,1015.1,0.0,2025-10-16
5:30 am,10.8,8.7,84,NNE,9 5,15 8,1015.1,0.0,2025-10-16
5:00 am,11.0,8.9,84,N,9 5,15 8,1015.2,0.0,2025-10-16
4:30 am,10.9,9.3,86,N,7 4,11 6,1015.6,0.0,2025-10-16
4:00 am,10.9,8.9,87,NNE,9 5,13 7,1016.0,0.0,2025-10-16
3:30 am,11.1,8.7,85,NNE,11 6,17 9,1016.4,0.0,2025-10-16
3:00 am,11.8,9.8,82,NNE,9 5,11 6,1016.8,0.0,2025-10-16
2:30 am,12.1,10.8,83,NNE,6 3,9 5,1017.1,0.0,2025-10-16
2:00 am,12.4,11.1,85,N,7 4,9 5,1017.5,0.0,2025-10-16
1:30 am,12.7,11.3,89,N,9 5,13 7,1017.7,0.0,2025-10-16
1:00 am,11.5,11.3,94,NNW,2 1,9 5,1018.2,0.0,2025-10-16
12:30 am,12.3,12.0,87,NNW,2 1,9 5,1018.5,0.0,2025-10-16
12:00 am,12.0,11.3,88,N,4 2,9 5,1018.7,0.0,2025-10-16
