Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,30.4,29.7,43,NNW,15 8,–,1010.3,0.0,2025-10-17
12:30 pm,28.6,29.2,48,ESE,9 5,–,1010.8,0.0,2025-10-17
12:00 pm,28.1,28.9,49,NW,7 4,–,1011.1,0.0,2025-10-17
11:30 am,27.8,26.0,49,NW,20 11,–,1011.3,0.0,2025-10-17
11:00 am,27.7,25.5,49,NNW,22 12,–,1011.9,0.0,2025-10-17
10:30 am,27.6,24.4,47,NW,26 14,–,1012.3,0.0,2025-10-17
10:00 am,27.5,25.2,48,NW,22 12,–,1012.5,0.0,2025-10-17
9:30 am,27.9,25.2,46,NW,24 13,–,1012.5,0.0,2025-10-17
9:00 am,27.1,24.5,50,NNW,24 13,–,1012.4,0.0,2025-10-17
8:30 am,25.7,23.6,52,NW,20 11,–,1012.4,0.0,2025-10-17
8:00 am,24.9,24.3,53,NNW,11 6,–,1012.6,0.0,2025-10-17
7:30 am,24.0,22.6,55,NNW,15 8,–,1012.3,0.0,2025-10-17
7:00 am,23.6,22.0,55,NNW,15 8,–,1012.3,0.0,2025-10-17
6:30 am,23.3,22.4,55,NNW,11 6,–,1012.3,0.0,2025-10-17
6:00 am,23.3,20.6,54,NW,20 11,–,1012.2,0.0,2025-10-17
5:30 am,23.2,20.7,54,NW,19 10,–,1012.2,0.0,2025-10-17
5:00 am,22.2,22.9,57,E,2 1,–,1012.1,0.0,2025-10-17
4:30 am,22.4,23.1,57,E,2 1,–,1012.1,0.0,2025-10-17
4:00 am,22.3,22.3,58,NNE,6 3,–,1012.1,0.0,2025-10-17
3:30 am,22.6,22.1,57,ESE,9 5,–,1012.3,0.0,2025-10-17
3:00 am,22.8,22.6,56,ESE,7 4,–,1012.2,0.0,2025-10-17
2:30 am,21.6,22.3,64,ENE,4 2,–,1012.7,0.0,2025-10-17
2:00 am,20.7,22.5,77,ENE,2 1,–,1013.1,0.0,2025-10-17
1:30 am,20.3,21.7,86,E,7 4,–,1013.3,0.0,2025-10-17
1:00 am,20.6,21.2,83,E,11 6,–,1013.7,0.0,2025-10-17
12:30 am,20.8,21.7,82,ESE,9 5,–,1013.9,0.0,2025-10-17
12:00 am,21.3,22.5,78,E,7 4,–,1013.9,0.0,2025-10-17
