Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
12:00 pm,23.7,22.0,42,NNE,9 5,17 9,1016.6,0.0,2025-10-18
11:30 am,22.7,19.5,40,N,15 8,22 12,1016.9,0.0,2025-10-18
11:00 am,21.9,20.3,47,NE,9 5,13 7,1017.2,0.0,2025-10-18
10:30 am,19.8,16.9,47,N,13 7,20 11,1017.4,0.0,2025-10-18
10:00 am,19.6,17.3,55,N,13 7,19 10,1017.6,0.0,2025-10-18
9:30 am,18.0,15.6,55,NNE,11 6,17 9,1017.8,0.0,2025-10-18
9:00 am,17.2,15.4,61,NNE,9 5,15 8,1017.8,0.0,2025-10-18
8:30 am,15.2,13.2,65,NNE,9 5,11 6,1018.1,0.0,2025-10-18
8:00 am,12.9,12.6,75,CALM,0 0,0 0,1018.4,0.0,2025-10-18
7:30 am,11.2,11.1,89,CALM,0 0,0 0,1018.3,0.0,2025-10-18
7:00 am,9.9,8.0,86,NE,7 4,11 6,1017.4,0.0,2025-10-18
6:30 am,8.7,7.8,95,N,2 1,7 4,1017.8,0.0,2025-10-18
6:00 am,9.1,8.8,96,CALM,0 0,0 0,1017.7,0.0,2025-10-18
5:30 am,9.3,8.2,95,NNE,4 2,6 3,1017.3,0.0,2025-10-18
5:00 am,9.6,9.3,94,CALM,0 0,0 0,1017.2,0.0,2025-10-18
4:30 am,9.8,9.5,93,CALM,0 0,0 0,1017.2,0.0,2025-10-18
4:00 am,10.1,9.8,90,CALM,0 0,0 0,1016.9,0.0,2025-10-18
3:30 am,10.9,10.7,89,CALM,0 0,0 0,1017.3,0.0,2025-10-18
3:00 am,11.3,10.3,86,N,4 2,7 4,1017.2,0.0,2025-10-18
2:30 am,11.7,11.5,84,CALM,0 0,0 0,1017.2,0.0,2025-10-18
2:00 am,13.2,11.8,79,NNE,7 4,9 5,1017.5,0.0,2025-10-18
1:30 am,13.1,11.2,77,N,9 5,13 7,1017.5,0.0,2025-10-18
1:00 am,12.6,11.3,79,S,6 3,9 5,1017.6,0.0,2025-10-18
12:30 am,11.9,11.2,79,SSE,2 1,6 3,1017.9,0.0,2025-10-18
12:00 am,12.5,11.4,76,SSE,4 2,6 3,1018.2,0.0,2025-10-18
